CityCode,City,Country,Latitude,Longitude
429,Ecatepec de Morelos,MX,19.60492,-99.06064
109,Guadalajara,MX,20.66682,-103.39182
434,Mérida,MX,20.97537,-89.61696
401,Mexico City,MX,19.42847,-99.12766
435,Monterrey,MX,25.67507,-100.31847
201,Morelia,MX,19.70078,-101.18443
440,Oaxaca,MX,17.06542,-96.72365
240,Pachuca de Soto,MX,20.11697,-98.73329
484,Puebla,MX,19.03793,-98.20346
442,San Luis Potosí,MX,22.14982,-100.97916
445,Tepic,MX,21.50951,-104.89569
340,Toluca,MX,19.28786,-99.65324
8,Amsterdam,NL,52.37403,4.88969
38,Breda,NL,51.58656,4.77596
84,Dordrecht,NL,51.81,4.67361
90,Eindhoven,NL,51.44083,5.47778
108,Groningen,NL,53.21917,6.56667
114,Haarlem,NL,52.38084,4.63683
181,Maastricht,NL,50.84833,5.68889
223,Nijmegen,NL,51.8425,5.85278
275,Rotterdam,NL,51.9225,4.47917
336,The Hague,NL,52.07667,4.29861
350,Utrecht,NL,52.09083,5.12222
26,Bergen,NO,60.39299,5.32415
234,Oslo,NO,59.91273,10.74609
315,Stavanger,NO,58.97005,5.73332
345,Trondheim,NO,63.43049,10.39506
422,Auckland,NZ,-36.84853,174.76349
425,Christchurch,NZ,-43.53333,172.63333
170,Lima,PE,-12.04318,-77.02824
496,Baguio,PH,16.41639,120.59306
455,Manila,PH,14.6042,120.9822
457,Zamboanga,PH,6.91028,122.07389
2,Łódź,PL,51.77058,19.47395
47,Bydgoszcz,PL,53.1235,18.00762
102,Gdańsk,PL,54.35227,18.64912
149,Katowice,PL,50.25841,19.02754
152,Kielce,PL,50.87033,20.62752
157,Kraków,PL,50.06143,19.93658
239,Płock,PL,52.54682,19.70638
256,Poznań,PL,52.40692,16.92993
277,Rybnik,PL,50.09713,18.54179
324,Szczecin,PL,53.42894,14.55302
333,Tarnów,PL,50.01381,20.98698
359,Warsaw,PL,52.22977,21.01178
420,Wrocław,PL,51.1,17.03333
375,Zabrze,PL,50.32492,18.78576
174,Lisbon,PT,38.71667,-9.13333
281,Saint-Denis,RE,-20.88231,55.4504
13,Arad,RO,46.18333,21.31667
383,Bacău,RO,46.56718,26.91384
19,Baia Mare,RO,47.65729,23.56808
385,Brăila,RO,45.27152,27.97429
36,Braşov,RO,45.64861,25.60613
423,Bucharest,RO,44.43225,26.10626
426,Cluj-Napoca,RO,46.76667,23.6
70,Constanţa,RO,44.18073,28.63432
74,Craiova,RO,44.31667,23.8
99,Galaţi,RO,45.43687,28.05028
134,Iaşi,RO,47.16667,27.6
231,Oradea,RO,47.0458,21.91833
250,Piteşti,RO,44.85,24.86667
251,Ploieşti,RO,44.95,26.01667
268,Râmnicu Vâlcea,RO,45.1,24.36667
310,Sibiu,RO,45.8,24.15
338,Timişoara,RO,45.75372,21.22571
384,Belgrade,RS,44.80401,20.46513
404,Niš,RS,43.32472,21.90333
439,Novi Sad,RS,45.25167,19.83694
502,Chelyabinsk,RU,55.15402,61.42915
512,Krasnoyarsk,RU,56.01839,92.86717
202,Moscow,RU,55.75222,37.61556
517,Nizhniy Novgorod,RU,56.32867,44.00205
518,Novosibirsk,RU,55.0415,82.9346
493,Abha,SA,18.21639,42.50528
498,Buraydah,SA,26.32599,43.97497
503,Dammam,SA,26.43442,50.10326
509,Ha'il,SA,27.52188,41.69073
511,Jeddah,SA,21.49012,39.18624
513,Mecca,SA,21.42664,39.82563
521,Riyadh,SA,24.68773,46.72185
463,Göteborg,SE,57.70716,11.96679
400,Malmö,SE,55.60587,13.00073
413,Stockholm,SE,59.32938,18.06871
418,Uppsala,SE,59.85882,17.63889
311,Singapore,SG,1.28967,103.85007
37,Bratislava,SK,48.14816,17.10674
154,Košice,SK,48.71395,21.25808
21,Bangkok,TH,13.75398,100.50144
60,Chiang Mai,TH,18.79038,98.98468
63,Chon Buri,TH,13.3622,100.98345
161,Lampang,TH,18.29232,99.49277
516,Nakhon Pathom,TH,13.8196,100.04427
269,Rayong,TH,12.68095,101.25798
287,Samut Prakan,TH,13.59934,100.59675
1,İzmir,TR,38.41273,27.13838
380,İzmit,TR,40.76499,29.92928
3,Adana,TR,36.98615,35.32531
382,Adapazarı,TR,40.78056,30.40333
10,Ankara,TR,39.91987,32.85427
534,Antakya,TR,36.20655,36.15722
451,Balıkesir,TR,39.64917,27.88611
388,Bursa,TR,40.19559,29.06013
504,Denizli,TR,37.77417,29.0875
391,Erzurum,TR,39.90861,41.27694
507,Eskişehir,TR,39.77667,30.52056
138,Istanbul,TR,41.01384,28.94966
150,Kayseri,TR,38.73222,35.48528
397,Konya,TR,37.87135,32.48464
475,Kütahya,TR,39.42417,29.98333
409,Samsun,TR,41.27976,36.3361
