"","Year","N","R2","RMSE","MAE","r","Slope","Intercept"
"line.2015",2015,3115,0.864614878590658,5.15142987898121,3.47631328940677,0.93017305473329,0.84253330235279,3.62305746709355
"line.2016",2016,3315,0.816421729873756,6.12648107692217,3.61694330719535,0.903933719287866,0.793755937754928,4.50755030602338
"line.2017",2017,2936,0.85198630574495,5.44225322981574,3.35522316897763,0.924782758863036,0.802688229807023,4.24181918938229
"line.2018",2018,3560,0.749929933253399,8.88110173700936,4.07101670423585,0.86944102761154,0.688593627551278,6.46051166194634
"line.2019",2019,5790,0.713374130637447,7.47493479217481,3.56634182712372,0.845879298486082,0.676497135600249,6.4180472466564
"line.2020",2020,6023,0.773219346773501,5.31663665659508,3.33465427640101,0.88119167255236,0.826837124717554,2.91234242633324
"line.2021",2021,4947,0.51548519497456,9.61928176252424,3.11495123457345,0.71800411400717,0.520096481069294,7.83105085519144
"line.total",2015,29686,0.744537600235891,7.17053166704767,3.47995834043984,0.863210134828111,0.724091060500445,5.37256218863058
